City,Date,Latitude,Longitude,Temperature C,Cloud Cover %,Precipitation mm,Humidity %,Wind Speed km,Snow Depth mm,Snow mm,Conditions
NASHVILLE,2016-05-05,36.168,-86.778,12.0,64.2,0.0,61.9,33.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-06,36.168,-86.778,15.4,26.8,0.0,57.3,22.4,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-07,36.168,-86.778,20.5,28.8,0.0,51.6,26.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-08,36.168,-86.778,24.0,52.1,0.0,43.0,20.3,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-09,36.168,-86.778,20.9,87.5,0.02,60.2,25.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-10,36.168,-86.778,22.5,71.4,0.91,68.3,26.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-11,36.168,-86.778,25.3,71.4,0.64,64.2,20.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-12,36.168,-86.778,22.1,75.6,2.94,72.6,17.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-13,36.168,-86.778,19.6,18.3,0.0,54.6,16.1,0.0,0.0,Clear
NASHVILLE,2016-05-14,36.168,-86.778,13.7,39.5,0.0,59.7,27.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-15,36.168,-86.778,12.9,31.7,0.0,52.6,20.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-16,36.168,-86.778,14.5,83.5,2.01,55.7,15.9,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-17,36.168,-86.778,17.0,86.4,2.46,80.6,17.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-18,36.168,-86.778,14.5,87.2,0.04,77.6,18.1,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-19,36.168,-86.778,17.9,53.5,0.0,59.3,24.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-20,36.168,-86.778,17.0,92.8,28.25,81.9,13.3,0.0,0.0,"Rain, Overcast"
NASHVILLE,2016-05-21,36.168,-86.778,18.3,78.1,0.0,74.0,23.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-22,36.168,-86.778,19.0,11.0,0.0,60.0,20.6,0.0,0.0,Clear
NASHVILLE,2016-05-23,36.168,-86.778,20.8,11.4,0.0,53.3,14.5,0.0,0.0,Clear
NASHVILLE,2016-05-24,36.168,-86.778,22.4,36.7,0.0,54.6,13.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-25,36.168,-86.778,22.7,81.9,7.85,67.2,19.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-26,36.168,-86.778,23.4,75.8,0.32,73.3,30.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-27,36.168,-86.778,25.2,82.7,0.08,63.4,21.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-28,36.168,-86.778,24.6,77.1,0.08,64.1,21.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-29,36.168,-86.778,25.3,42.6,0.0,65.7,12.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-05-30,36.168,-86.778,26.2,45.0,0.01,56.8,14.9,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-05-31,36.168,-86.778,25.3,61.0,0.01,58.9,12.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-01,36.168,-86.778,25.2,58.5,1.27,67.4,26.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-02,36.168,-86.778,24.5,78.7,6.15,74.2,19.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-03,36.168,-86.778,24.1,82.8,12.62,76.5,18.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-04,36.168,-86.778,23.6,82.9,6.55,82.2,17.6,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-05,36.168,-86.778,24.3,74.2,3.79,70.0,18.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-06,36.168,-86.778,24.4,32.4,0.0,60.0,11.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-07,36.168,-86.778,23.9,9.7,0.0,53.0,26.2,0.0,0.0,Clear
NASHVILLE,2016-06-08,36.168,-86.778,22.1,16.5,0.0,50.3,17.5,0.0,0.0,Clear
NASHVILLE,2016-06-09,36.168,-86.778,22.2,36.7,0.0,54.1,15.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-10,36.168,-86.778,25.2,10.8,0.0,54.0,12.1,0.0,0.0,Clear
NASHVILLE,2016-06-11,36.168,-86.778,27.4,15.0,0.0,55.8,18.2,0.0,0.0,Clear
NASHVILLE,2016-06-12,36.168,-86.778,28.7,33.1,0.0,59.8,17.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-13,36.168,-86.778,28.1,46.4,0.9,68.3,24.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-14,36.168,-86.778,26.0,39.1,1.95,77.8,23.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-15,36.168,-86.778,25.2,74.5,5.81,81.1,19.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-16,36.168,-86.778,28.3,51.3,0.19,64.9,18.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-17,36.168,-86.778,27.3,42.6,0.0,61.6,25.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-18,36.168,-86.778,26.4,61.6,0.08,66.5,13.9,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-19,36.168,-86.778,27.0,64.3,0.01,54.5,22.6,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-20,36.168,-86.778,26.4,56.4,0.0,55.0,11.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-21,36.168,-86.778,28.2,61.1,0.0,61.5,18.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-22,36.168,-86.778,30.0,54.5,0.0,60.4,16.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-23,36.168,-86.778,30.8,40.9,0.0,57.4,22.4,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-24,36.168,-86.778,27.2,76.4,46.52,69.4,28.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-25,36.168,-86.778,28.7,62.3,0.14,66.4,12.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-26,36.168,-86.778,27.5,65.7,1.0,69.1,13.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-27,36.168,-86.778,25.4,75.2,2.16,83.0,29.4,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-28,36.168,-86.778,26.4,70.2,10.35,73.5,17.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-06-29,36.168,-86.778,24.5,33.4,0.0,57.1,21.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-06-30,36.168,-86.778,23.8,19.5,0.0,55.8,17.3,0.0,0.0,Clear
NASHVILLE,2016-07-01,36.168,-86.778,25.3,41.6,0.26,67.7,19.9,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-02,36.168,-86.778,26.0,58.9,0.0,60.4,18.1,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-03,36.168,-86.778,27.9,76.9,0.04,62.2,14.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-04,36.168,-86.778,27.9,80.1,33.75,72.0,32.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-05,36.168,-86.778,26.3,80.3,20.57,82.2,14.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-06,36.168,-86.778,25.8,67.0,10.33,82.0,17.6,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-07,36.168,-86.778,25.5,65.9,35.92,80.0,22.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-08,36.168,-86.778,28.9,71.2,5.37,69.7,20.2,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-09,36.168,-86.778,26.6,79.6,0.18,71.2,14.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-10,36.168,-86.778,26.9,77.4,0.0,63.5,9.5,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-11,36.168,-86.778,26.0,87.9,1.57,74.9,19.6,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-12,36.168,-86.778,27.8,48.4,0.05,65.2,21.1,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-13,36.168,-86.778,28.7,24.4,0.0,64.7,17.9,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-14,36.168,-86.778,26.2,57.2,4.26,76.5,21.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-15,36.168,-86.778,26.1,72.9,0.0,75.8,9.4,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-16,36.168,-86.778,26.7,71.7,0.0,71.8,14.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-17,36.168,-86.778,27.8,39.7,0.0,69.2,10.6,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-18,36.168,-86.778,29.4,45.4,0.0,67.7,13.8,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-19,36.168,-86.778,28.8,43.4,0.0,69.9,21.0,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-20,36.168,-86.778,27.8,57.3,0.01,70.1,15.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-21,36.168,-86.778,29.3,28.3,0.0,64.6,16.2,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-22,36.168,-86.778,28.8,63.1,0.0,68.8,14.3,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-23,36.168,-86.778,28.2,78.6,0.02,72.0,17.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-24,36.168,-86.778,28.9,68.6,0.0,66.9,11.3,0.0,0.0,Partially cloudy
NASHVILLE,2016-07-25,36.168,-86.778,29.4,72.1,0.01,68.5,11.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-26,36.168,-86.778,28.8,44.4,4.02,69.7,16.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-27,36.168,-86.778,28.5,70.4,0.03,70.9,18.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-28,36.168,-86.778,26.2,87.6,17.96,80.6,15.8,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-29,36.168,-86.778,27.4,84.7,0.31,76.2,20.0,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-30,36.168,-86.778,26.6,77.6,0.77,73.9,11.2,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-07-31,36.168,-86.778,27.2,72.1,8.37,74.9,9.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-01,36.168,-86.778,27.2,46.2,1.17,73.4,19.2,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-02,36.168,-86.778,27.0,72.5,1.77,77.6,14.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-03,36.168,-86.778,26.8,51.7,14.18,79.9,23.3,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-04,36.168,-86.778,27.1,63.4,0.23,76.4,19.7,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-05,36.168,-86.778,25.9,57.0,11.96,81.5,31.5,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-06,36.168,-86.778,25.8,73.8,1.61,83.5,13.1,0.0,0.0,"Rain, Partially cloudy"
NASHVILLE,2016-08-07,36.168,-86.778,27.4,74.4,0.0,75.6,23.8,0.0,0.0,Partially cloudy
